App,Category,Rating,Reviews,Type,Price,Content Rating
.R,TOOLS,4.5,259,Free,0,Everyone
[adult swim],FAMILY,3.6,21433,Free,0,Mature 17+
[root] Pry-Fi,TOOLS,3.9,6736,Free,0,Everyone
[ROOT] X Privacy Installer,TOOLS,4.2,12147,Free,0,Everyone
¡Ay Metro!,GAME,3.8,489,Free,0,Everyone 10+
📏 Smart Ruler ↔️ cm/inch measuring for homework!,TOOLS,4,19,Free,0,Everyone
Аim Training for CS,GAME,3.6,2328,Free,0,Everyone
РееI Smart Remote MP3 CD Player,TOOLS,3.2,27,Free,0,Everyone
الفاتحون Conquerors,FAMILY,4.5,108130,Free,0,Teen
لعبة تقدر تربح DZ,FAMILY,4.2,238,Free,0,Everyone
বাংলা টিভি প্রো BD Bangla TV,FAMILY,4.3,193,Free,0,Everyone
বাংলাflix,FAMILY,4.2,1111,Free,0,Everyone
► MultiCraft ― Free Miner! 👍,GAME,4.3,1305050,Free,0,Everyone 10+
【Miku AR Camera】Mikuture,FAMILY,4.4,36268,Free,0,Teen
あなカレ【BL】無料ゲーム,FAMILY,4.7,6073,Free,0,Mature 17+
英漢字典 EC Dictionary,FAMILY,4.3,55408,Free,0,Everyone
10 Minutes a Day Times Tables,FAMILY,4.1,681,Free,0,Everyone
100 Doors of Revenge,FAMILY,4.1,105766,Free,0,Teen
100+ C Programs,FAMILY,4.2,20,Free,0,Everyone
101 C Programming Problems,FAMILY,4.6,498,Free,0,Everyone
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,4.4,74359,Free,0,Everyone
1800 Contacts - Lens Store,MEDICAL,4.7,23160,Free,0,Everyone
1LINE – One Line with One Touch,GAME,4.6,214878,Free,0,Everyone
2-Player Co-op Zombie Shoot,GAME,4.2,33,Free,0,Teen
2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,Paid,16.99,Everyone
2019 Tricks Es File Explores,TOOLS,3,4,Free,0,Everyone
2048 BTS J Hope KPop Puzzle Game,FAMILY,4.7,17,Free,0,Everyone
2048(AI),FAMILY,4.3,20,Free,0,Everyone
211:CK,GAME,5,8,Paid,0.99,Teen
211:CK Lite,GAME,4.3,3,Free,0,Mature 17+
30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5,1,Paid,1.49,Everyone
360-M Flight,TOOLS,3.9,84,Free,0,Everyone
"360 Security - Free Antivirus, Booster, Cleaner",TOOLS,4.6,16771865,Free,0,Everyone
3D Color by Number with Voxels,FAMILY,4.5,5481,Free,0,Everyone
"3D Color by Number: Voxel, Unicorn, Pixel Art 3D",FAMILY,4.3,2017,Free,0,Everyone
3D DJ – DJ Mixer 2018,FAMILY,4.3,6333,Free,0,Everyone
3D DJ – Music Mixer with Virtual DJ,FAMILY,4.3,796,Free,0,Everyone
3D Holograms Joke,FAMILY,2.9,31596,Free,0,Teen
3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,FAMILY,4.2,449,Free,0,Teen
3G to 4G Converter - Simulator,TOOLS,4.2,268,Free,0,Everyone
3G/4G Config Dz,TOOLS,4.2,2058,Free,0,Everyone
4 in a row,GAME,4.3,47698,Free,0,Everyone
4 in a Row,GAME,3.8,4257,Free,0,Everyone
4 x4 Offroad SUV 3D Truck Simulator Driving 2017,FAMILY,4.4,32,Free,0,Everyone
420 BZ Budeze Delivery,MEDICAL,5,2,Free,0,Mature 17+
4x4 Jeep Racer,GAME,4.1,7279,Free,0,Everyone
5-Minute Clinical Consult,MEDICAL,4.1,84,Free,0,Everyone
5 Minute Clinical Consult 2019 - #1 for 25 years,MEDICAL,4.2,33,Free,0,Everyone
5 Minute Veterinary Consult: Canine & Feline,MEDICAL,2.3,17,Free,0,Everyone
5 Nights at Cube Pizzeria City,GAME,3.8,2691,Free,0,Teen
500 AP World History Questions,FAMILY,4.7,7,Paid,9.99,Everyone
7 Nights at Pixel Pizzeria - 2,GAME,4,23168,Free,0,Teen
8 Ball Pool,GAME,4.5,14201891,Free,0,Everyone
98point6,MEDICAL,4.6,47,Free,0,Everyone
"9GAG: Funny Gifs, Pics, Memes & Videos for IGTV",FAMILY,4.6,1450632,Free,0,Teen
A-Z Punjabi Songs & Music Videos 2018,FAMILY,4.3,367,Free,0,Everyone
A Call From Santa Claus!,FAMILY,3.9,3720,Free,0,Everyone
A Manual of Acupuncture,MEDICAL,3.5,214,Paid,33.99,Everyone
A Word A Day,FAMILY,3.7,2398,Free,0,Everyone
A&E - Watch Full Episodes of TV Shows,FAMILY,4,29708,Free,0,Teen
A. O. Smith,TOOLS,4.2,32,Free,0,Everyone
A/C Air Conditioner Remote,TOOLS,3.4,7816,Free,0,Everyone
